epoch,1_hiddenlayer_ANN,5_hidden_layer_ANN,lenet,custom_CNN
1,0.7670454382896423,0.09943182021379471,0.08522727340459824,0.8920454382896423
2,0.7869318127632141,0.09090909361839294,0.09375,0.90625
3,0.8210227489471436,0.08522727340459824,0.08522727340459824,0.9375
4,0.8210227489471436,0.12215909361839294,0.08522727340459824,0.9346590638160706
5,0.8238636255264282,0.07954545319080353,0.07954545319080353,0.9545454382896423
6,0.8295454382896423,0.09375,0.08522727340459824,0.9403409361839294
7,0.8352272510528564,0.08522727340459824,0.1818181872367859,0.9488636255264282
8,0.84375,0.08522727340459824,0.17613635957241058,0.9630681872367859
9,0.84375,0.08522727340459824,0.40909090638160706,0.9545454382896423
10,0.8409090638160706,0.14488635957241058,0.4204545319080353,0.9573863744735718
11,0.8465909361839294,0.09090909361839294,0.5085227489471436,0.9545454382896423
12,0.8465909361839294,0.08522727340459824,0.5426136255264282,0.9602272510528564
13,0.8494318127632141,0.09375,0.5994318127632141,0.9517045617103577
14,0.8522727489471436,0.17897726595401764,0.6221590638160706,0.9517045617103577
15,0.8522727489471436,0.09090909361839294,0.6789772510528564,0.9545454382896423
16,0.8579545617103577,0.08522727340459824,0.7073863744735718,0.9545454382896423
17,0.8579545617103577,0.23011364042758942,0.7073863744735718,0.9488636255264282
18,0.8579545617103577,0.2642045319080353,0.7130681872367859,0.9488636255264282
19,0.8607954382896423,0.32102271914482117,0.7414772510528564,0.9545454382896423
20,0.8636363744735718,0.40909090638160706,0.7471590638160706,0.9460227489471436
21,0.8607954382896423,0.4488636255264282,0.7556818127632141,0.9517045617103577
22,0.8636363744735718,0.47159090638160706,0.7642045617103577,0.9460227489471436
23,0.8693181872367859,0.4829545319080353,0.7755681872367859,0.9602272510528564
24,0.8664772510528564,0.5397727489471436,0.7698863744735718,0.96875
25,0.8693181872367859,0.5710227489471436,0.7755681872367859,0.9659090638160706
26,0.8721590638160706,0.59375,0.7670454382896423,0.9545454382896423
27,0.8693181872367859,0.5738636255264282,0.7642045617103577,0.9403409361839294
28,0.8778409361839294,0.5909090638160706,0.7926136255264282,0.9545454382896423
29,0.8778409361839294,0.6051136255264282,0.7897727489471436,0.9545454382896423
30,0.8721590638160706,0.6107954382896423,0.7869318127632141,0.9573863744735718
31,0.8693181872367859,0.6079545617103577,0.7926136255264282,0.9659090638160706
32,0.8693181872367859,0.6193181872367859,0.8011363744735718,0.9659090638160706
33,0.8806818127632141,0.6590909361839294,0.7869318127632141,0.9630681872367859
34,0.8664772510528564,0.6704545617103577,0.7926136255264282,0.9659090638160706
35,0.8778409361839294,0.6448863744735718,0.7897727489471436,0.9659090638160706
36,0.8693181872367859,0.6505681872367859,0.7954545617103577,0.9630681872367859
37,0.8721590638160706,0.6789772510528564,0.8068181872367859,0.9545454382896423
38,0.8806818127632141,0.6846590638160706,0.7954545617103577,0.9602272510528564
